KO	Pathway	Pathway Name
K16190	ko00040	Pentose and glucuronate interconversions
K12447	ko00040	Pentose and glucuronate interconversions
K00012	ko00040	Pentose and glucuronate interconversions
K00963	ko00040	Pentose and glucuronate interconversions
K00002	ko00040	Pentose and glucuronate interconversions
K13247	ko00040	Pentose and glucuronate interconversions
K08092	ko00040	Pentose and glucuronate interconversions
K00880	ko00040	Pentose and glucuronate interconversions
K03078	ko00040	Pentose and glucuronate interconversions
K03079	ko00040	Pentose and glucuronate interconversions
K03077	ko00040	Pentose and glucuronate interconversions
K01783	ko00040	Pentose and glucuronate interconversions
K01804	ko00040	Pentose and glucuronate interconversions
K00853	ko00040	Pentose and glucuronate interconversions
K24707	ko00040	Pentose and glucuronate interconversions
K00854	ko00040	Pentose and glucuronate interconversions
K01805	ko00040	Pentose and glucuronate interconversions
K00011	ko00040	Pentose and glucuronate interconversions
K00594	ko00040	Pentose and glucuronate interconversions
K17743	ko00040	Pentose and glucuronate interconversions
K26066	ko00040	Pentose and glucuronate interconversions
K03331	ko00040	Pentose and glucuronate interconversions
K25879	ko00040	Pentose and glucuronate interconversions
K25880	ko00040	Pentose and glucuronate interconversions
K25881	ko00040	Pentose and glucuronate interconversions
K01820	ko00040	Pentose and glucuronate interconversions
K00848	ko00040	Pentose and glucuronate interconversions
K01629	ko00040	Pentose and glucuronate interconversions
K17738	ko00040	Pentose and glucuronate interconversions
K17818	ko00040	Pentose and glucuronate interconversions
K00007	ko00040	Pentose and glucuronate interconversions
K09988	ko00040	Pentose and glucuronate interconversions
K05351	ko00040	Pentose and glucuronate interconversions
K00008	ko00040	Pentose and glucuronate interconversions
K22185	ko00040	Pentose and glucuronate interconversions
K00078	ko00040	Pentose and glucuronate interconversions
K14273	ko00040	Pentose and glucuronate interconversions
K14274	ko00040	Pentose and glucuronate interconversions
K24442	ko00040	Pentose and glucuronate interconversions
K24443	ko00040	Pentose and glucuronate interconversions
K14275	ko00040	Pentose and glucuronate interconversions
K22186	ko00040	Pentose and glucuronate interconversions
K22396	ko00040	Pentose and glucuronate interconversions
K22397	ko00040	Pentose and glucuronate interconversions
K14259	ko00040	Pentose and glucuronate interconversions
K13877	ko00040	Pentose and glucuronate interconversions
K19588	ko00040	Pentose and glucuronate interconversions
K22187	ko00040	Pentose and glucuronate interconversions
K00875	ko00040	Pentose and glucuronate interconversions
K22935	ko00040	Pentose and glucuronate interconversions
K00039	ko00040	Pentose and glucuronate interconversions
K21680	ko00040	Pentose and glucuronate interconversions
K05352	ko00040	Pentose and glucuronate interconversions
K21681	ko00040	Pentose and glucuronate interconversions
K21030	ko00040	Pentose and glucuronate interconversions
K21031	ko00040	Pentose and glucuronate interconversions
K01818	ko00040	Pentose and glucuronate interconversions
K00879	ko00040	Pentose and glucuronate interconversions
K01628	ko00040	Pentose and glucuronate interconversions
K01218	ko00051	Fructose and mannose metabolism
K19355	ko00051	Fructose and mannose metabolism
K00847	ko00051	Fructose and mannose metabolism
K01809	ko00051	Fructose and mannose metabolism
K15916	ko00051	Fructose and mannose metabolism
K16011	ko00051	Fructose and mannose metabolism
K17497	ko00051	Fructose and mannose metabolism
K01840	ko00051	Fructose and mannose metabolism
K15778	ko00051	Fructose and mannose metabolism
K16881	ko00051	Fructose and mannose metabolism
K00971	ko00051	Fructose and mannose metabolism
K00966	ko00051	Fructose and mannose metabolism
K01711	ko00051	Fructose and mannose metabolism
K02377	ko00051	Fructose and mannose metabolism
K00976	ko00051	Fructose and mannose metabolism
K18447	ko00051	Fructose and mannose metabolism
K05305	ko00051	Fructose and mannose metabolism
K01818	ko00051	Fructose and mannose metabolism
K00879	ko00051	Fructose and mannose metabolism
K01628	ko00051	Fructose and mannose metabolism
K00064	ko00051	Fructose and mannose metabolism
K18333	ko00051	Fructose and mannose metabolism
K07046	ko00051	Fructose and mannose metabolism
K18334	ko00051	Fructose and mannose metabolism
K18335	ko00051	Fructose and mannose metabolism
K18336	ko00051	Fructose and mannose metabolism
K26911	ko00051	Fructose and mannose metabolism
K18337	ko00051	Fructose and mannose metabolism
K18338	ko00051	Fructose and mannose metabolism
K12661	ko00051	Fructose and mannose metabolism
K18339	ko00051	Fructose and mannose metabolism
K12660	ko00051	Fructose and mannose metabolism
K01813	ko00051	Fructose and mannose metabolism
K21883	ko00051	Fructose and mannose metabolism
K01820	ko00051	Fructose and mannose metabolism
K00848	ko00051	Fructose and mannose metabolism
K01629	ko00051	Fructose and mannose metabolism
K05947	ko00051	Fructose and mannose metabolism
K07026	ko00051	Fructose and mannose metabolism
K18818	ko00051	Fructose and mannose metabolism
K00844	ko00051	Fructose and mannose metabolism
K24182	ko00051	Fructose and mannose metabolism
K00850	ko00051	Fructose and mannose metabolism
K16370	ko00051	Fructose and mannose metabolism
K21071	ko00051	Fructose and mannose metabolism
K00895	ko00051	Fructose and mannose metabolism
K03841	ko00051	Fructose and mannose metabolism
K02446	ko00051	Fructose and mannose metabolism
K11532	ko00051	Fructose and mannose metabolism
K01086	ko00051	Fructose and mannose metabolism
K04041	ko00051	Fructose and mannose metabolism
K19028	ko00051	Fructose and mannose metabolism
K19029	ko00051	Fructose and mannose metabolism
K01103	ko00051	Fructose and mannose metabolism
K19030	ko00051	Fructose and mannose metabolism
K00900	ko00051	Fructose and mannose metabolism
K14634	ko00051	Fructose and mannose metabolism
K00009	ko00051	Fructose and mannose metabolism
K00068	ko00051	Fructose and mannose metabolism
K19956	ko00051	Fructose and mannose metabolism
K00846	ko00051	Fructose and mannose metabolism
K00882	ko00051	Fructose and mannose metabolism
K00008	ko00051	Fructose and mannose metabolism
K00011	ko00051	Fructose and mannose metabolism
K00594	ko00051	Fructose and mannose metabolism
K01805	ko00051	Fructose and mannose metabolism
K08261	ko00051	Fructose and mannose metabolism
K17742	ko00051	Fructose and mannose metabolism
K19633	ko00051	Fructose and mannose metabolism
K00045	ko00051	Fructose and mannose metabolism
K00007	ko00051	Fructose and mannose metabolism
K00066	ko00051	Fructose and mannose metabolism
K19290	ko00051	Fructose and mannose metabolism
K19291	ko00051	Fructose and mannose metabolism
K01795	ko00051	Fructose and mannose metabolism
K01729	ko00051	Fructose and mannose metabolism
K01623	ko00051	Fructose and mannose metabolism
K11645	ko00051	Fructose and mannose metabolism
K01624	ko00051	Fructose and mannose metabolism
K01622	ko00051	Fructose and mannose metabolism
K16305	ko00051	Fructose and mannose metabolism
K16306	ko00051	Fructose and mannose metabolism
K01803	ko00051	Fructose and mannose metabolism
K00863	ko00051	Fructose and mannose metabolism
K03332	ko00051	Fructose and mannose metabolism
K22252	ko00051	Fructose and mannose metabolism
K15856	ko00051	Fructose and mannose metabolism
K00881	ko00051	Fructose and mannose metabolism
K01808	ko00051	Fructose and mannose metabolism
K17195	ko00051	Fructose and mannose metabolism
K02768	ko00051	Fructose and mannose metabolism
K02769	ko00051	Fructose and mannose metabolism
K02770	ko00051	Fructose and mannose metabolism
K11194	ko00051	Fructose and mannose metabolism
K11195	ko00051	Fructose and mannose metabolism
K11196	ko00051	Fructose and mannose metabolism
K02771	ko00051	Fructose and mannose metabolism
K02793	ko00051	Fructose and mannose metabolism
K02794	ko00051	Fructose and mannose metabolism
K02795	ko00051	Fructose and mannose metabolism
K02796	ko00051	Fructose and mannose metabolism
K25814	ko00051	Fructose and mannose metabolism
K02798	ko00051	Fructose and mannose metabolism
K02800	ko00051	Fructose and mannose metabolism
K19270	ko00051	Fructose and mannose metabolism
K24204	ko00051	Fructose and mannose metabolism
K02781	ko00051	Fructose and mannose metabolism
K02782	ko00051	Fructose and mannose metabolism
K02783	ko00051	Fructose and mannose metabolism
K02812	ko00051	Fructose and mannose metabolism
K02813	ko00051	Fructose and mannose metabolism
K02814	ko00051	Fructose and mannose metabolism
K02815	ko00051	Fructose and mannose metabolism
K01785	ko00052	Galactose metabolism
K00849	ko00052	Galactose metabolism
K00965	ko00052	Galactose metabolism
K01784	ko00052	Galactose metabolism
K17716	ko00052	Galactose metabolism
K00963	ko00052	Galactose metabolism
K01835	ko00052	Galactose metabolism
K15778	ko00052	Galactose metabolism
K15779	ko00052	Galactose metabolism
K00844	ko00052	Galactose metabolism
K12407	ko00052	Galactose metabolism
K00845	ko00052	Galactose metabolism
K25026	ko00052	Galactose metabolism
K01084	ko00052	Galactose metabolism
K01190	ko00052	Galactose metabolism
K12111	ko00052	Galactose metabolism
K12112	ko00052	Galactose metabolism
K12308	ko00052	Galactose metabolism
K12309	ko00052	Galactose metabolism
K01229	ko00052	Galactose metabolism
K00704	ko00052	Galactose metabolism
K07966	ko00052	Galactose metabolism
K07967	ko00052	Galactose metabolism
K12447	ko00052	Galactose metabolism
K01854	ko00052	Galactose metabolism
K18819	ko00052	Galactose metabolism
K06617	ko00052	Galactose metabolism
K01189	ko00052	Galactose metabolism
